source,type,target,sType,tType
https://catalogue.cioos.ca/dataset/0345b31b-8625-4282-be3e-194ffd44e611.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.ogsl.ca/dataset/ca-cioos_8e435445-d7b4-4724-aa71-c98e4d41f9e7,publisher,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,Dataset,Organization
https://catalogue.ogsl.ca/dataset/ca-cioos_8e435445-d7b4-4724-aa71-c98e4d41f9e7,creator,https://gleaner.io/xid/genid/cggj2r3k59mc73f1hfkg,Dataset,Person
https://catalogue.ogsl.ca/dataset/ca-cioos_8e435445-d7b4-4724-aa71-c98e4d41f9e7,creator,https://gleaner.io/xid/genid/cggj2r3k59mc73f1hfi0,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_66ad87d2-bb96-4515-a907-6367ca6c0a2b1.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/ca-cioos_66ad87d2-bb96-4515-a907-6367ca6c0a2b1.jsonld,creator,https://gleaner.io/xid/genid/cggj4a3k59mc73f1oq60,Dataset,Organization
https://catalogue.cioos.ca/dataset/ca-cioos_66ad87d2-bb96-4515-a907-6367ca6c0a2b1.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/6621bdab-8a5f-4dda-af31-c8122b586af7.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/6621bdab-8a5f-4dda-af31-c8122b586af7.jsonld,creator,https://gleaner.io/xid/genid/cggj3fbk59mc73f1kkd0,Dataset,Organization
https://catalogue.cioos.ca/dataset/6621bdab-8a5f-4dda-af31-c8122b586af7.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/ca-cioos_94ded8f9-4ee7-407d-80eb-bf217ce7d260.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/ca-cioos_94ded8f9-4ee7-407d-80eb-bf217ce7d260.jsonld,creator,https://gleaner.io/xid/genid/cggj2ojk59mc73f1h3fg,Dataset,Organization
https://catalogue.cioos.ca/dataset/ca-cioos_94ded8f9-4ee7-407d-80eb-bf217ce7d260.jsonld,creator,https://gleaner.io/xid/genid/cggj2ojk59mc73f1h3g0,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_94ded8f9-4ee7-407d-80eb-bf217ce7d260.jsonld,creator,https://gleaner.io/xid/genid/cggj2ojk59mc73f1h3gg,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_94ded8f9-4ee7-407d-80eb-bf217ce7d260.jsonld,creator,https://gleaner.io/xid/genid/cggj2ojk59mc73f1h3c0,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_94ded8f9-4ee7-407d-80eb-bf217ce7d260.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/ea7d9da7-9eb9-4ce4-ba59-b07364e2afc7.jsonld,publisher,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,Dataset,Organization
https://catalogue.cioos.ca/dataset/ea7d9da7-9eb9-4ce4-ba59-b07364e2afc7.jsonld,creator,https://gleaner.io/xid/genid/cggj2vbk59mc73f1i4dg,Dataset,Organization
https://catalogue.cioos.ca/dataset/ea7d9da7-9eb9-4ce4-ba59-b07364e2afc7.jsonld,provider,https://ogsl.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/5aff3111-d577-4f3c-a40f-94d0102575de,publisher,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,Dataset,Organization
https://catalogue.cioos.ca/dataset/5aff3111-d577-4f3c-a40f-94d0102575de,creator,https://gleaner.io/xid/genid/cggj3p3k59mc73f1m520,Dataset,Organization
https://catalogue.cioos.ca/dataset/37e52459-b2b9-48f5-b329-05ae3263bd93.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/37e52459-b2b9-48f5-b329-05ae3263bd93.jsonld,creator,https://gleaner.io/xid/genid/cggj45rk59mc73f1o4g0,Dataset,Organization
https://catalogue.cioos.ca/dataset/37e52459-b2b9-48f5-b329-05ae3263bd93.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/02b284c2-23a0-42ce-bb4d-5cda6f14b1fd.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/02b284c2-23a0-42ce-bb4d-5cda6f14b1fd.jsonld,creator,https://gleaner.io/xid/genid/cggj3pbk59mc73f1m5mg,Dataset,Organization
https://catalogue.cioos.ca/dataset/02b284c2-23a0-42ce-bb4d-5cda6f14b1fd.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/e7d49bda-2158-4784-9ee9-e9b48d8368c7.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/e7d49bda-2158-4784-9ee9-e9b48d8368c7.jsonld,creator,https://gleaner.io/xid/genid/cggj3rbk59mc73f1mf60,Dataset,Organization
https://catalogue.cioos.ca/dataset/e7d49bda-2158-4784-9ee9-e9b48d8368c7.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/3e1e66ef-f7c5-45c2-a5cc-b521d062c9e4.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/3e1e66ef-f7c5-45c2-a5cc-b521d062c9e4.jsonld,creator,https://gleaner.io/xid/genid/cggj303k59mc73f1i74g,Dataset,Organization
https://catalogue.cioos.ca/dataset/3e1e66ef-f7c5-45c2-a5cc-b521d062c9e4.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/ca-cioos_c0e030c1-d846-3f24-a880-18c4d03f94d31.jsonld,publisher,https://catalogue.cioos.ca/organization/c1eca542-1caf-4604-a2d5-708682e08793,Dataset,Organization
https://catalogue.cioos.ca/dataset/ca-cioos_c0e030c1-d846-3f24-a880-18c4d03f94d31.jsonld,creator,https://gleaner.io/xid/genid/cggj2ujk59mc73f1hvk0,Dataset,Organization
https://catalogue.cioos.ca/dataset/ca-cioos_c0e030c1-d846-3f24-a880-18c4d03f94d31.jsonld,provider,https://cioosatlantic.ca/,Dataset,Organization
https://catalogue.cioos.ca/dataset/47f64c94-690c-43f5-b001-7159c6703bdc.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/47f64c94-690c-43f5-b001-7159c6703bdc.jsonld,creator,https://gleaner.io/xid/genid/cggj32jk59mc73f1iig0,Dataset,Organization
https://catalogue.cioos.ca/dataset/47f64c94-690c-43f5-b001-7159c6703bdc.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/7e6d018b-8dd9-4c43-9a07-9b29ee7050a2.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/7e6d018b-8dd9-4c43-9a07-9b29ee7050a2.jsonld,creator,https://gleaner.io/xid/genid/cggj2vjk59mc73f1i5a0,Dataset,Organization
https://catalogue.cioos.ca/dataset/7e6d018b-8dd9-4c43-9a07-9b29ee7050a2.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioosatlantic.ca/dataset/1534e6ca-e607-4bcd-8b97-fcf02816f5a3,publisher,https://gleaner.io/xid/genid/cggj4ajk59mc73f1orlg,Dataset,Organization
