source,target,type
https://catalogue.cioos.ca/dataset/ca-cioos_94ded8f9-4ee7-407d-80eb-bf217ce7d260.jsonld,https://gleaner.io/xid/genid/cggj2ojk59mc73f1h3c0,creator
https://catalogue.cioos.ca/dataset/ca-cioos_94ded8f9-4ee7-407d-80eb-bf217ce7d260.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/ea7d9da7-9eb9-4ce4-ba59-b07364e2afc7.jsonld,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,publisher
https://catalogue.cioos.ca/dataset/ea7d9da7-9eb9-4ce4-ba59-b07364e2afc7.jsonld,https://gleaner.io/xid/genid/cggj2vbk59mc73f1i4dg,creator
https://catalogue.cioos.ca/dataset/ea7d9da7-9eb9-4ce4-ba59-b07364e2afc7.jsonld,https://ogsl.ca,provider
https://catalogue.cioos.ca/dataset/5aff3111-d577-4f3c-a40f-94d0102575de,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,publisher
https://catalogue.cioos.ca/dataset/5aff3111-d577-4f3c-a40f-94d0102575de,https://gleaner.io/xid/genid/cggj3p3k59mc73f1m520,creator
https://catalogue.cioos.ca/dataset/37e52459-b2b9-48f5-b329-05ae3263bd93.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/37e52459-b2b9-48f5-b329-05ae3263bd93.jsonld,https://gleaner.io/xid/genid/cggj45rk59mc73f1o4g0,creator
https://catalogue.cioos.ca/dataset/37e52459-b2b9-48f5-b329-05ae3263bd93.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/02b284c2-23a0-42ce-bb4d-5cda6f14b1fd.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/02b284c2-23a0-42ce-bb4d-5cda6f14b1fd.jsonld,https://gleaner.io/xid/genid/cggj3pbk59mc73f1m5mg,creator
https://catalogue.cioos.ca/dataset/02b284c2-23a0-42ce-bb4d-5cda6f14b1fd.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/e7d49bda-2158-4784-9ee9-e9b48d8368c7.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/e7d49bda-2158-4784-9ee9-e9b48d8368c7.jsonld,https://gleaner.io/xid/genid/cggj3rbk59mc73f1mf60,creator
https://catalogue.cioos.ca/dataset/e7d49bda-2158-4784-9ee9-e9b48d8368c7.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/3e1e66ef-f7c5-45c2-a5cc-b521d062c9e4.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/3e1e66ef-f7c5-45c2-a5cc-b521d062c9e4.jsonld,https://gleaner.io/xid/genid/cggj303k59mc73f1i74g,creator
https://catalogue.cioos.ca/dataset/3e1e66ef-f7c5-45c2-a5cc-b521d062c9e4.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/ca-cioos_c0e030c1-d846-3f24-a880-18c4d03f94d31.jsonld,https://catalogue.cioos.ca/organization/c1eca542-1caf-4604-a2d5-708682e08793,publisher
https://catalogue.cioos.ca/dataset/ca-cioos_c0e030c1-d846-3f24-a880-18c4d03f94d31.jsonld,https://gleaner.io/xid/genid/cggj2ujk59mc73f1hvk0,creator
